Club;Country;Part;Titles;Pld;W;D;L;F;A;Pts;GD;porganarchampions;porganarpartido;porperderpartido;poremppartido;porgfav/gtot;porgenc/gtot;porgd/gtot
Real Madrid CF;ESP;53;14;476;285;81;110;1047;521;651;526;26,41509434;59,87394958;23,1092437;17,01680672;66,77295918;33,22704082;33,54591837
FC Bayern München;GER;39;6;382;229;76;77;804;373;534;431;15,38461538;59,94764398;20,15706806;19,89528796;68,30926083;31,69073917;36,61852167
FC Barcelona;ESP;33;5;339;197;76;66;667;343;470;324;15,15151515;58,1120944;19,46902655;22,41887906;66,03960396;33,96039604;32,07920792
Manchester United;ENG;30;3;293;160;69;64;533;284;389;249;10;54,60750853;21,84300341;23,54948805;65,23867809;34,76132191;30,47735618
Juventus;ITA;37;2;301;153;70;78;479;301;376;178;5,405405405;50,83056478;25,91362126;23,25581395;61,41025641;38,58974359;22,82051282
Liverpool FC;ENG;27;6;248;142;50;56;472;228;334;244;22,22222222;57,25806452;22,58064516;20,16129032;67,42857143;32,57142857;34,85714286
AC Milan;ITA;30;7;267;131;68;68;437;251;330;186;23,33333333;49,06367041;25,46816479;25,46816479;63,51744186;36,48255814;27,03488372
SL Benfica;POR;42;2;287;130;67;90;475;334;327;141;4,761904762;45,29616725;31,35888502;23,34494774;58,7144623;41,2855377;17,4289246
FC Porto;POR;37;2;269;121;61;87;395;304;303;91;5,405405405;44,98141264;32,34200743;22,67657993;56,509299;43,490701;13,018598
AFC Ajax;NED;39;4;247;112;64;71;396;282;288;114;10,25641026;45,34412955;28,74493927;25,91093117;58,40707965;41,59292035;16,81415929
FC Dynamo Kyiv;UKR;39;0;254;104;55;95;350;315;263;35;0;40,94488189;37,4015748;21,65354331;52,63157895;47,36842105;5,263157895
Chelsea FC;ENG;19;2;201;104;53;44;342;181;261;161;10,52631579;51,74129353;21,89054726;26,3681592;65,39196941;34,60803059;30,78393881
FC Internazionale Milano;ITA;24;3;205;98;54;53;290;204;250;86;12,5;47,80487805;25,85365854;26,34146341;58,70445344;41,29554656;17,40890688
